id,ingredient
0,강력분
1,물
2,파마산치즈
3,올리브유
4,설탕
5,이스트
6,소금
7,다진마늘
8,파슬리가루
9,덧밀가루
10,뜨거운물
11,찬물
12,쇠고기
13,다진 양파
14,달걀
15,밥 (혹은 빵가루)
16,우유
17,넛맥
18,버터
19,파슬리
20,홍합
21,청주
22,코리엔더
23,레몬그라스
24,파
25,마늘
26,코코넛 밀크
27,피쉬소스 (혹은 까나리 액젓)
28,라임 (혹은 레몬)
29,프릭키누 칠리 (혹은 매운 청양고추)
30,땅콩기름 (혹은 식용유)
31,둘레 20cm 정도의 크러스티한 빵
32,양가지
33,적파프리카
34,주키니호박
35,아티초크 절임
36,모짜렐라
37,슬라이스햄
38,로켓 (혹은 샐러드용 야채)
39,올리브 오일
40,페스토 스프레드
41,바질 (잎사귀)
42,잣
43,레몬즙
44,파마산치즈 (곱게 갈은 것)
45,오리고기 (가슴살)
46,오이
47,대파
48,해선장소스
49,팬 케이크
50,표고
51,참송이
52,팽이버섯
53,유부 (혹은 두부)
54,배추
55,곤약
56,우엉
57,맛술
58,간장
59,바질
60,올리브오일
61,양파
62,딜
63,식초
64,오렌지
65,굵은 소금
66,토마토
67,다진 마늘
68,홍고추
69,바질잎
70,오레가노말린것
71,닭고기
72,깻잎
73,겨자
74,당근
75,양배추
76,피망
77,돼지고기 등심
78,녹말가루
79,달걀 흰자
80,두반장
81,블랙빈 소스
82,마요네즈
83,찹쌀가루
84,달걀흰자
85,새우
86,샐러드유
87,와사비
88,감자전분
89,게살 (혹은 게맛살)
90,계란
91,브로콜리
92,닭육수
93,옥수수 전분
94,생강
95,갈은 생강
96,후추
97,연두부
98,돼지삼겹살
99,땅콩기름
100,칠리파우더
101,백설탕
102,진간장
103,녹말물
104,사천후추 (혹은 산초가루)
105,감자
106,소고기 (슬라이스)
107,건다시마
108,가다랭이포
109,파스타
110,캔참치
111,빵가루
112,캠벨 크림버섯스프  (혹은 인스턴트 크림버섯수프)
113,셀러리
114,레드 파프리카
115,그린 파프리카
116,다진 파슬리
117,체다치즈 (갈은것)
118,통삼겹
119,로즈마리
120,천연소금
121,칠리파우더 (혹은 카옌페퍼)
122,사과
123,파스닙
124,또띠아
125,아보카도
126,파프리카
127,살라미
128,사워크림
129,생크림 (혹은 우유  혹은 버터)
130,닭가슴살
131,메추리알
132,베이컨
133,로메인상추
134,계란노른자
135,머스터드소스
136,엔초비
137,달걀 삶은 것
138,허브
139,레드 와인 비니거 (혹은 사과 식초)
140,홀그레인 머스타드
141,쪽파
142,스파게티면
143,냉이
144,아몬드
145,피스타치오
146,바지락
147,생땅콩
148,커리파우더
149,칠리 파우더
150,캔토마토
151,피넛 버터
152,꿀
153,닭넙적다리
154,배추김치
155,생강 (슬라이스)
156,멸치국물
157,사골국물
158,김치국물
159,드라이 이스트
160,포토벨로 버섯
161,뽀르게타 햄
162,바질 페스토
163,모짜렐라 치즈
164,우유 (혹은 우유 500ml+생크림 200ml)
165,물강활
166,판 젤라틴
167,딸기 (혹은 블루베리 혹은 라즈베리)
168,민트잎
169,아이싱 슈가
170,쌀
171,토마토 소스
172,링오징어
173,관자살
174,백합
175,새우살
176,꽃게
177,화이트 와인
178,강황가루
179,모짜렐라치즈
180,미나리
181,쌀국수면
182,차돌박이
183,숙주나물
184,건멸치 큰것
185,표고버섯 말린것
186,떡볶이떡
187,판어묵
188,날치알
189,치즈
190,고추장
191,고춧가루
192,조미료
193,소면
194,갓김치
195,매실청
196,들기름
197,달걀 삶기용 물
198,캔옥수수
199,가지
200,핫소스
201,등갈비
202,표고버섯
203,새알감자
204,무
205,홍삼액
206,물한컵반
207,올리고당
208,돼지등뼈
209,삼겹살
210,라면사리
211,다시마
212,커피가루
213,고구마
214,메이플시럽
215,식용유
216,돼지목살
217,아스파라거스
218,체다치즈 (슬라이스)
219,레드와인
220,냉동블루베리
221,스테이크 소스
222,굴소스
223,식빵
224,허니 파우더
225,계피분말
226,아몬드 (슬라이스)
227,슈가파우더
228,돼지안심
229,청피망
230,홍피망
231,주황파프리카
232,죽순 통조림
233,고추기름
234,참기름
235,꽃빵
236,갈치
237,조선무
238,청양고추
239,고추가루
240,액젓
241,두부
242,모시조개
243,애호박
244,느타리버섯
245,새우젓
246,메밀국수 건면
247,열무김치
248,새싹
249,참깨
250,밀가루
251,막걸리
252,냉동딸기
253,붉은팥
254,조청
255,영계
256,칼국수면
257,당귀
258,엄나무
259,부추
260,대구
261,대구곤이
262,콩나물
263,화이트와인
264,닭다리살
265,통마늘
266,허브 소금
267,소면 마른것
268,골뱅이통조림
269,노란파프리카
270,묵은지
271,효소액
272,피쉬스틱
273,체다치즈
274,바질가루
275,중간 크기의 감자
276,꽈리고추
277,집간장
278,물엿
279,생크림 (무가당)
280,치킨
281,고추
282,치즈샌드크래커
283,옥수수통조림
284,야끼소바
285,사우전아일랜드드레싱
286,양송이버섯
287,방울토마토
288,토마토소스
289,생크림 (요리용)
290,바질 말린것
291,요리당
292,시판 돈까스
293,밥
294,쑥갓대
295,가쓰오부시육수
296,데리야끼 소스
297,쌀밥
298,하이라이스 고형분
299,중하새우
300,백합조개
301,오징어 (링모양)
302,오징어
303,튀김가루
304,김
305,국수 마른것
306,춘장
307,돼지고기
308,다진생강
309,녹말
310,버섯
311,명란젓
312,블랙올리브
313,등심(전 어깨살)
314,흑설탕
315,명란젖
316,청파프리카
317,피자치즈
318,파마산 치즈
319,파마산치즈가루
320,과자
321,해물믹스(조갯살)
322,무청
323,고기다진것
324,녹색고추
325,순두부
326,마늘 다진것
327,소고기
328,떡국
329,페페론치노
330,샐러드
331,우동면
332,해물믹스
333,오뚜기 짜장가루
334,떡국떡
335,김치
336,토마토케첩
337,맥주
338,당근 (다진것)
339,대파 (송송썬것)
340,채끝살
341,봄동
342,<양념장>
343,멸치액젓
