id,recipe_id,amount
0,1,"['300g', '160g', '한스푼', '두 스푼', '5g', '5g', '5g', '한스푼', '한스푼', '적당히', '한컵반', '반컵']"
1,2,"['330-350g', '1/2개', '1개', '1/2공기', '1.5스푼', '약간', '1.5스푼', '한 줌', '0.3스푼']"
2,3,"['1 kg', '1.5스푼', '8줄기', '1줄기', '2~3뿌리', '5쪽', '400g', '1스푼', '약간', '1/2개', '3개', '1.5스푼']"
3,4,"['1개', '1개', '1 개', '1 개', '80g', '1 덩어리', '5장', '20g', '적당히', '적당히', '21g', '30g', '1쪽', '1스푼', '2 스푼', '15']"
4,5,"['1.1kg', '1/2개', '3~4뿌리', '2스푼', '100 g', '25-30장 정도']"
5,6,"['적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '180ml', '180ml']"
6,7,"['75g', '80ml', '5스푼', '1~2톨', '3스푼', '0.1-0.2스푼']"
7,8,"['적당히', '적당히', '적당히', '적당히', '적당히', '적당히']"
8,9,"['3개', '5~6스푼', '900g', '3스푼', '1.5스푼']"
9,10,"['10개(소)', '10꼬집', '1스푼', '3쪽', '2개', '1숟가락', '10약간']"
10,11,"['450-500g', '적당히', '적당히', '6스푼', '6스푼', '7스푼', '6스푼']"
11,12,"['1개', '230g', '1개', '적당히', '150-180g', '적당히', '약간', '1개', '2쪽', '적당히', '1.5스푼', '0.3스푼', '적당히']"
12,13,"['5~6스푼', '0.7-1스푼', '1스푼', '1/2개', '1.5-2스푼', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히']"
13,14,"['50g', '2개', '1송이', '120ml', '0.5숟가락', '0.8숟가락', '1티스푼', '0.8스푼', '1약간', '1약간']"
14,15,"['400 g', '2.5스푼', '150 g', '약간', '1-1.5스푼', '1 컵', '약간', '0.3-0.5스푼', '0.5스푼', '7스푼', '약간']"
15,16,"['2 개(대)', '3 개', '260 g', '400 g', '3 조각', '1/2 컵', '80-85ml', '5~6스푼', '5스푼', '1.2스푼']"
16,17,"['200g', '200g', '25g', '55g', '1캔', '125ml', '2줄기', '1개', '1개', '약간', '약간', '약간', '1/2스푼']"
17,18,"['1kg', '2-3줄기', '5스푼', '0.3스푼', '1-1.5스푼', '1.5스푼', '4~5스푼', '3스푼', '3~4개', '4~5개', '2~3개', '3~5개', '3개\ufeff \ufeff']"
18,19,"['1장', '1/3개', '1/3개', '1/2개', '35g', '약간', '적당량', '1~2개', '2스푼', '1스푼', '15g']"
19,20,"['250 g', '약간', '약간', '2~3쪽', '3~4스푼', '12개', '4 장', '적당히', '1 개', '0.2스푼', '1.5스푼', '1.5스푼', '7~8스푼', '30 g']"
20,21,"['1kg', '5장', '5개', '약간', '약간', '약간', '3~5스푼', '3스푼', '1.5스푼', '4~5뿌리']"
21,22,"['2인분', '한 줌', '4 알', '4 알', '15 개', '4 개', '3 Ts', '1/4 ts']"
22,23,"['2개', '2개', '3개', '100g', '4~5스푼', '1스푼', '0.7스푼', '1스푼', '1개(중)', '1.2리터', '0.7스푼', '약간', '80g', '2스푼', '4~5조각', '1가닥']"
23,24,"['2포기', '600 g', '5 조각', '2스푼', '3스푼', '5뿌리', '0.7스푼', '200ml', '200ml', '100ml']"
24,25,"['335g', '8g', '5g', '215ml', '38ml', '적당히', '적당히', '4~5스푼', '180g']"
25,26,"['700ml', '130-150g', '3스푼', '7장', '적당량', '적당량', '적당히']"
26,27,"['1/2컵', '1컵', '50g', '50g', '3개', '50g', '1 마리', '1/3개', '1t', '1t', '1T', '1t', '50 g', '약간', '100ml', '1/3t']"
27,28,"['70g', '100g', '100g', '1장', '50g', '2개', '2 조각', '1t', '1t', '1t', '500ml']"
28,29,"['150g', '1장', '10g', '1개', '1장', '1/3개', '1/3개', '약간', '400ml', '1T', '2T', '2T', '1/2T', '2T', '1/2t', '1/3t']"
29,30,"['150g', '100g', '1개', '1T', '2T', '1T', '4T', '1/2T', '500ml']"
30,31,"['1/3캔', '100g', '1/4개', '1/4개', '100ml', '1t', '1 ts', '1t', '1/2T', '1t', '1/4t']"
31,32,"['300g', '1 개', '2 개', '1/4 개', '4 개', '50g', '1/2뿌리', '3T', '80ml', '150ml', '3T', '3T']"
32,33,"['200g', '100g', '1 인분', '1개', '1조각', '1.2L', '2 ts', '3T']"
33,34,"['200 g', '6 Ts', '적당량']"
34,35,"['250 g', '1 개', '3 장', '1개', '1/4 장', '1Ts', '6개', '2 Ts', '1 Ts', '1 ts', '1/3 ts', '1 ts', '2Ts', '1/2컵', '1 Ts']"
35,36,"['2 쪽(중)', '1T', '1/2 ts', '1 Ts', '1 ts', '1 ts']"
36,37,"['100 g', '1/2 개', '1/2 개', '1/2 개', '1/2 대', '1/3 컵', '1 개', '2Ts', '1Ts', '1/3 ts', '1 Ts', '1 Ts', '1 Ts', '2개']"
37,38,"['2 토막', '1/3개', '200 g', '1 대', '1개', '50ml', '100ml', '1 Ts', '1Ts', '2Ts', '2 Ts', '1t', '1Ts', '1Ts', '1/3 ts']"
38,39,"['1/2모', '200g', '1/3개', '1/2팩', '1/3뿌리', '1개', '1T', '500ml']"
39,40,"['100 g', '150 g', '25g', '1 Ts', '2Ts', '1 ts', '1/2ts', '2Ts', '1ts', '1 ts', '1 Ts']"
40,41,"['3 컵', '1컵', '1/2 컵', '1 ts', '2 컵', '4 Ts', '1 ts', '1컵', '5컵']"
41,42,"['1마리', '100 g', '3 쪽(중)', '10 g', '1조각', '1 개', '1/2 단', '1/3 개', '600ml', '1/2 Ts', '1/3 ts']"
42,43,"['200 g', '50g', '100 g', '50 g', '50 g', '50 g', '1/2 대', '400ml', '1/2 Ts', '1/2 Ts']"
43,44,"['2 개(소)', '100 g', '1/4 개(대)', '150ml', '1/2 Ts', '1/3 ts', '1/2 ts', '1 ts', '1/3 ts', '1 Ts']"
44,45,"['200 g', '50 g', '1 뿌리', '1/2 개(중)', '8개', '2개', '1ts', '1/3 ts', '4Ts', '100ml']"
45,46,"['150g', '1/2 통(대)', '1/3 개', '2 장', '100g', '1/3 개(중)', '1.5 Ts', '1ts', '1/2 Ts', '2Ts', '1 ts', '1 Ts']"
46,47,"['8개', '15g', '4T', '1/2t']"
47,48,"['3개', '10g', '한큰술', '4큰술', '한큰술', '5큰술']"
48,49,"['100 g', '150 g', '1장', '1 컵', '1 장', '1/4 개(대)', '1개', '1 ts', '1 Ts', '1 ts', '1 Ts']"
49,50,"['4~5조각', '2개', '100g', '3 Ts', '1Ts', '2 Ts', '1 Ts', '1 장(중)']"
50,52,"['100 g', '5 개', '한 줌', '5 개', '100 g', '100 g', '1 ts', '1/3 ts', '1/3 ts', '1 Ts']"
51,53,"['150g', '150 g', '1 Ts', '1 Ts', '1 ts', '1/2Ts', '1/2Ts', '1/3 ts']"
52,54,"['1개', '1인분', '50g', '1팬', '3개', '1개', '1/2개', '1개', '100ml', '100ml', '1t', '1/3t', '1T']"
53,55,"['1/3 단', '1 컵', '150 g', '1컵반', '1 ts', '4 Ts']"
54,56,"['1 그릇', '1개', '350ml', '1 마리', '50 g', '3개', '1/3 개(대)', '50 g', '1 Ts', '1 Ts', '1ts', '1/3 ts']"
55,57,"['적당히', '적당히', '적당히', '적당히']"
56,58,"['적당히', '적당히', '적당히']"
57,59,"['4 인분', '150 g', '적당히', '2 개(대)', '4 대', '4개', '1/2큰술', '1작은술', '5 큰술', '1큰술', '1/2큰술', '1꼬집', '1꼬집', '2컵', '2큰술', '2큰술', '1큰술', '4큰술', '1큰술']"
58,60,"['적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '2개', '적당히', '적당히', '적당히', '한공기']"
59,61,"['적당히', '1알', '적당히', '적당히', '적당히', '적당히', '적당히']"
60,62,"['4알', '적당히', '1스푼', '두 장', '3 개', '반 봉', '1/3 개(대)', '1/4 개', '6 개', '적당히', '적당히']"
61,63,"['1장', '1스푼', '2스푼', '1스푼', '200g', '약간', '적당히', '1티스푼', '약간']"
62,64,"['적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히']"
63,65,"['적당히', '적당히', '적당히', '적당히', '100g', '2개', '2개', '적당히', '적당히', '적당히', '적당히', '1스푼']"
64,66,"['적당히', '적당히', '적당히', '적당히']"
65,67,"['100 g', '4 Ts', '10 쪽', '2개', '3 가닥', '1.5Ts', '0.5 ts']"
66,68,"['적당히', '적당히', '적당히', '2개']"
67,69,"['적당히', '적당히', '적당히', '적당히', '적당히', '적당히']"
68,70,"['적당히', '적당히', '적당히', '2큰술', '적당히', '적당히', '적당히', '1큰술']"
69,71,"['4 개', '3 숟가락', '2 숟가락', '1 ts', '3 숟가락', '1/4 개(대)']"
70,72,"['200 g', '3숟가락', '1숟가락', '1/2 숟가락', '1숟가락', '1 그릇']"
71,73,"['1 포기', '2 개', '1/3 개', '적당히', '4 숟가락', '3 숟가락', '1/2 숟가락', '1 숟가락', '3 숟가락', '1 숟가락', '1 ts', '약간']"
72,74,"['300 g', '1/4 토막', '1 개', '1 개(중)', '1 대', '4-5 개', '5컵', '적당히', '3 숟가락', '1 숟가락', '1 숟가락', '1 숟가락', '1/2숟가락', '2숟가락', '1/4작은술']"
73,75,"['1봉지', '한봉지', '한개', '1/4 컵', '적당히', '1개']"
74,76,"['3 인분', '200 g', '100 g', '400 g', '1ts', '약간']"
75,77,"['100g', '1 모', '1/4개', '2개', '1큰술', '1/2작은술', '1+1/2큰술', '적당히', '1+1/2큰술', '1큰술', '1+1/2컵', '1큰술', '3큰술', '1/2 큰술']"
76,78,"['250 g', '2 숟가락', '2.5숟가락', '2.5숟가락', '2.5숟가락', '2.5 숟가락', '1 숟가락', '1/2작은술']"
77,79,"['2 마리', '4 개(중)', '적당히', '100 g (1/2컵)', '1 숟가락', '2 숟가락', '2 숟가락', '2 숟가락', '1 컵']"
78,80,"['적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히']"
79,81,"['적당히', '적당히', '적당히', '적당히']"
80,82,"['적당히', '적당히', '적당히']"
81,83,"['1마리', '2알', '적당히', '적당히', '적당히']"
82,84,"['1 그릇', '한 줌', '1/2 숟가락', '1 통(소)', '1/3 숟가락', '1/2 숟가락', '1 찻수저', '1찻수저', '1.5 숟가락', '약간', '약간', '1/3 찻수저']"
83,85,"['적당히', '적당히', '약간', '1/2 개', '1 개', '적당히', '적당히', '적당히', '적당히']"
84,86,"['4 개', '2 숟가락', '적당량', '약간', '약간', '약간']"
85,87,"['1 개', '5 Ts', '12 마리', '0.3 Ts', '1 개(중)', '2.5큰술']"
86,88,"['1 마리(중)', '2 개(중)', '2 개(대)', '1/2 개', '1 개(중)', '1 대', '적당히', '10 숟가락', '2 숟가락', '4 숟가락', '1 숟가락', '1/2 숟가락']"
87,89,"['적당히', '적당히']"
88,90,"['1 컵 (1봉지)', '100 g', '적당히', '1 조각', '10 마리', '1 개', '1/3 접시', '1 숟가락', '1 개(소)', '1/2 숟가락', '1/3 대']"
89,91,"['10 개', '적당히', '적당히', '1 개', '2 개', '적당히']"
90,92,"['2 마리', '한 줌', '1 조각', '봉', '적당히', '1/2 개', '적당히', '적당히', '적당히', '적당히', '1 숟가락', '1 숟가락', '1 숟가락', '1 숟가락', '적당히', '적당히']"
91,93,"['한 근', '1/3 개', '1 개(대)', '1 대', '한 줌', '1 숟가락', '적당히', '14 숟가락', '3 숟가락', '1 숟가락', '1 숟가락', '1 숟가락', '약간']"
92,94,"['150 g', '3 쪽(중)', '1/2개', '5대', '2그릇', '적당히', '180ml', '2 Ts', '1 Ts', '1/2 Ts', '1/2 Ts', '약간', '한 조각']"
93,95,"['500 g', '2리터', '한 줌', '한 줌', '한 줌', '한 줌', '2 인분', '적당히', '2 Ts', '1 Ts', '1/2 Ts', '약간', '1/2 Ts', '1 Ts', '1/2컵', '적당히', '1Ts', '약간', '3컵']"
94,96,"['적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '2스푼', '1스푼', '2스푼', '2스푼', '1스푼', '1스푼', '조금', '1스푼', '적당히', '적당히', '적당히']"
95,97,"['200 g', '200 g', '약간', '약간', '적당히', '1 Ts', '0.5 Ts', '0.5 Ts', '약간', '약간']"
96,98,"['150g', '0.3t', '적당량', '적당히', '1T', '1T', '0.8T', '0.5T', '0.3T', '0.5T', '약간']"
97,99,"['4개', '2 개', '25 g', '10 g', '1/4 개(대)', '1 개', '180 g']"
98,100,"['적당히', '25g', '40g', '적당히', '7T', '1T', '1T', '1/2T', '1/2T', '1T', '2장']"
99,101,"['적당히', '적당히', '적당히', '적당히', '적당히', '적당히']"
100,102,"['반개', '4 장', '3쪽', '2 인분', '1 개', '1 개(중)', '적당히', '250 g', '250 g', '적당히']"
101,103,"['2 쪽(대)', '1/6 개(대)', '1/5 개', '한 줌', '1 개', '1 장', '1 Ts']"
102,104,"['적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히']"
103,105,"['2큰술', '한줌', '2줌', '1 Ts', '1L', '1큰술']"
104,106,"['1장', '적당량', '적당량', '적당히', '적당히']"
105,107,"['1덩이', '반모', '적당량', '적당량', '적당량', '적당히']"
106,108,"['적당히', '적당히', '적당히', '약간']"
107,109,"['적당히', '2개', '적당히']"
108,110,"['2 개', '적당히', '1 개(대)', '3 개', '적당히', '2 숟가락', '350 ml', '250ml', '1 장', '1 리터']"
109,111,"['1 통(소)', '1/2 개', '1/3 개', '1/2 모', '3 개', '1/2 개(대)', '1 개', '한줌', '적당히', '1 Ts', '1/2 Ts', '600 ml(종이컵 3컵)', '1 Ts', '1/2 Ts']"
110,112,"['1컵', '1종지', '1ts', '1ts', '1숟가락', '1숟가락', '1ts', '1숟가락', '1Ts', '1 개', '1 개', '1 개']"
111,113,"['400 g', '2', '적당히', '1/3 개', '2', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '2 장', '2 개', '적당히']"
112,114,"['적당히', '1 개', '1 개', '적당히', '적당히', '적당히']"
113,115,"['100 g', '적당히', '1/2 개', '1 개', '1 장', '적당히', '2 숟가락', '1 숟가락', '1 숟가락']"
114,116,"['적당히', '1 개(대)', '1 모', '한줌', '2 숟가락', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히']"
115,117,"['적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히']"
116,118,"['적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히']"
117,119,"['적당히', '200ml', '376g', '2g', '적당히', '1/2병', '4큰술', '7개', '1/2개', '1/2팩', '100g', '200g']"
118,120,"['1봉', '1개', '5g', '1/2개', '2큰술', '1/2큰술', '1/8개', '2장반', '적당히', '적당히']"
119,121,"['3마리', '반개', '적당히', '적당히', '4~5개', '1술', '적당히', '1작은술', '2술', '2술', '2술', '2술', '2술', '2술']"
120,122,"['1150g, 1마리', '150g, 3줌', '100g, 2줌', '2.2L', '3쪽', '15알', '2장', '1대', '적당히', '3큰술', '2큰술', '적당히', '1큰술', '2대', '6쪽']"
121,123,"['1 마리', '1 개(대)', '적당히', '적당히', '한줌', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히']"
122,124,"['120g', '1큰술', '적당히', '80g', '1줌', '3줌', '3대', '적당히', '적당히', '1큰술씩', '적당히', '적당히', '1/2큰술']"
123,125,"['1kg', '2잔', '2장', '적당히', '2큰술', '5큰술', '1개', '2개', '4큰술', '2큰술', '2큰술', '2큰술', '1큰술 반', '한줄', '1컵', '약간']"
124,126,"['600g', '한줌', '1개', '4알', '4개', '약간', '약간', '200g', '40g', '3큰술']"
125,127,"['적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히']"
126,128,"['적당히', '적당히', '1t', '1t', '약간', '약간', '적당히', '적당히', '적당히', '적당히', '적당히']"
127,129,"['1 봉', '적당히']"
128,130,"['9 쪽', '적당히', '1 개', '2 숟가락', '1/2 줌', '적당히']"
129,131,"['1 모', '한 조각', '1/3 개', '1/2 개(대)', '1/2 개', '적당히', '3 숟가락', '적당히', '적당히', '1 개', '한 컵', '1/2 숟가락', '적당히', '1/2 컵', '1 조각', '4 숟가락', '적당히', '300ml', '1/10 개(대)', '2 쪽(대)', '2 숟가락', '2 숟가락', '1/10 개(중)', '적당히']"
130,132,"['300g', '50알', '20~30알', '1/2개', '1-2대', '1개', '1컵', '8T', '600ml', '2T', '1T', '4-6알']"
131,133,"['적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히']"
132,134,"['1/2캔', '2개', '2장', '1/2개', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '4컵', '3큰술', '2큰술', '2큰술', '1큰술', '적당히', '적당히']"
133,135,"['두근', '적당히', '적당히', '적당히', '적당히', '적당히', '3장', '2큰술', '1큰술', '적당히', '적당히', '적당히']"
134,136,"['적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히']"
135,137,"['적당히', '적당히', '적당히']"
136,138,"['2개', '4장', '조금', '조금씩', '조금씩', '조금씩', '조금씩', '적당히', '1/2컵', '1/2컵', '2장']"
137,139,"['적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히']"
138,140,"['적당히', '3조각', '약간', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '0.5']"
139,141,"['적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히']"
140,142,"['10개', '1대', '적당히', '200g', '적당히', '적당히', '적당히']"
141,143,"['160g', '15개', '240ml', '1/3개', '1/4개', '5개', '약간', '1개', '1/4개', '1/4개', '4개', '1개']"
142,144,"['30개', '20g', '500g', '100g', '5개', '10g', '50g', '50g', '1/3cup', '1/4cup', '1Ts', '1/2cup', '2L']"
143,145,"['6개', '150g', '4장', '1개', '30g', '1개', '약간', '8개', '10g', '2개', '1/2cup', '3Ts', '2Ts', '1Ts']"
144,146,"['적당히', '1개', '1/3장', '한꼬집', '1수저', '약간', '적당히']"
145,147,"['적당히', '적당히', '3~4개', '5~6개', '적당히', '1수저', '1수저', '1수저', '2수저', '2수저', '1수저', '약간', '약간']"
146,148,"['1근', '1약간', '2숟가락', '1큰술', '1큰술', '2쪽']"
147,149,"['1000ml', '500ml', '4큰술', '2작은술']"
148,150,"['3개', '1개', '적당히', '적당히']"
149,151,"['1개', '1/2개', '적당히', '2T', '3T', '1T', '적당히', '적당히', '적당히']"
150,152,"['한팩', '2장', '한뿌리', '1/3개', '2줌', '반개', '500ml', '적당히', '3TS', '1TS', '1TS', '3TS', '3TS', '1TS', '1TS', '1개', '3개']"
151,153,"['6개', '500g', '2개', '5TS']"
152,154,"['적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히']"
153,155,"['1개', '1/2개', '1/2개', '1/2개', '2줄', '3개', '적당히', '2T', '0.5T', '약간', '약간']"
154,156,"['400g', '1/봉지', '1팩', '2컵', '1/3컵', '2큰술', '3장', '한줄기', '적당히']"
155,157,"['반포기', '400g', '1큰술', '1큰술', '2큰술', '1큰술', '1큰술', '1숟가락', '2국자', '2국자']"
156,158,"['200 g', '1 개', '30 g', '1 개(소)', '적당히', '적당히', '적당히', '2 Ts', '1 ts', '1 Ts', '1 ts', '100 ml']"
157,159,"['적당히', '적당히', '적당히', '1개']"
158,160,"['50g', '100g', '1개', '10g', '적당히', '100g', '100g', '1t', '적당히', '150g', '50g', '100g']"
159,161,"['반개', '다섯쪽', '적당히', '적당히', '한컵', '약간', '적당히', '몇개', '적당히', '1개', '1스푼', '1스푼', '적당히', '1/2스푼']"
160,162,"['2마리', '1숟가락', '1숟가락', '2숟가락', '약간', '1숟가락', '1숟가락', '2숟가락', '5숟가락', '듬뿍', '1대접', '1/2숟가락', '1숟가락']"
161,163,"['1 조각', '1/2 개(대)', '적당히', '2 숟가락', '적당히', '200 g', '50 g', '2 리터', '20g', '적당히', '적당히', '1 찻수저', '적당히', '2 숟가락', '적당히', '1 숟가락']"
162,164,"['200 g', '8 g', '100', '150 g', '60 g', '2 Ts']"
163,165,"['4근', '1포기', '1숟가락', '1숟가락', '1숟가락', '1숟가락', '1/2숟가락', '1숟가락']"
164,166,"['300 g', '3 ts', '1 개', '160 g', '2 Ts', '20 g']"
165,167,"['적당히', '적당히', '적당히', '적당히', '적당히', '1숟갈', '1숟갈', '1숟갈', '1숟갈', '1숟갈', '1/2숟갈', '1숟갈']"
166,168,"['600g', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히']"
167,169,"['3개', '적당히', '2T', '1컵', '2장']"
168,170,"['1 봉', '1 개(소)', '3 개', '300 ml', '5 숟가락', '적당히', '1 숟가락', '적당히', '적당히']"
169,171,"['2공기', '150g', '1/2개', '3장', '2컵', '약간', '약간', '적당량']"
170,172,"['450g', '1T', '1/2t', '1/2T', '2T', '1T', '1T', '적당히']"
171,173,"['20~24개', '0.5T', '1.5T', '1.5T', '1~2T', '0.3t', '약간']"
172,174,"['1 조각', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '적당히']"
173,175,"['3~4개', '2개', '5~6개', '적당히', '3숟갈', '0.3', '0.2', '8숟갈', '10숟갈', '1숟갈']"
174,176,"['적당히', '적당히', '적당히', '적당히', '적당히', '적당히', '6큰술', '10큰술', '2큰술', '1큰술', '3큰술', '적당히']"
175,177,"['적당히', '적당히', '적당히', '적당히', '적당히']"
176,178,"['1 마리', '3 ts']"
177,179,"['35g', '35g', '70g', '30g', '60g', '4개', '60g', '4개', '20g']"
