id,recipe_id,ingredient_id,ingredient
0,1,1,강력분
1,1,2,물
2,1,3,파마산치즈
3,1,4,올리브유
4,1,5,설탕
5,1,6,이스트
6,1,7,소금
7,1,8,다진마늘
8,1,9,파슬리가루
9,1,10,덧밀가루
10,1,11,뜨거운물
11,1,12,찬물
12,1,13,
13,2,1,쇠고기
14,2,2,다진 양파
15,2,3,달걀
16,2,4,밥 (혹은 빵가루)
17,2,5,우유
18,2,6,넛맥
19,2,7,버터
20,2,8,파슬리
21,2,9,소금
22,2,10,
23,3,1,홍합
24,3,2,청주
25,3,3,코리엔더
26,3,4,레몬그라스
27,3,5,파
28,3,6,마늘
29,3,7,코코넛 밀크
30,3,8,피쉬소스 (혹은 까나리 액젓)
31,3,9,소금
32,3,10,라임 (혹은 레몬)
33,3,11,프릭키누 칠리 (혹은 매운 청양고추)
34,3,12,땅콩기름 (혹은 식용유)
35,3,13,
36,4,1,둘레 20cm 정도의 크러스티한 빵
37,4,2,양가지
38,4,3,적파프리카
39,4,4,주키니호박
40,4,5,아티초크 절임
41,4,6,모짜렐라
42,4,7,슬라이스햄
43,4,8,로켓 (혹은 샐러드용 야채)
44,4,9,올리브 오일
45,4,10,페스토 스프레드
46,4,11,바질 (잎사귀)
47,4,12,잣
48,4,13,마늘
49,4,14,레몬즙
50,4,15,올리브유
51,4,16,파마산치즈 (곱게 갈은 것)
52,4,17,
53,5,1,오리고기 (가슴살)
54,5,2,오이
55,5,3,대파
56,5,4,물
57,5,5,해선장소스
58,5,6,팬 케이크
59,5,7,
60,6,1,쇠고기
61,6,2,표고
62,6,3,참송이
63,6,4,팽이버섯
64,6,5,유부 (혹은 두부)
65,6,6,파
66,6,7,배추
67,6,8,곤약
68,6,9,우엉
69,6,10,맛술
70,6,11,간장
71,6,12,
72,7,1,바질
73,7,2,올리브오일
74,7,3,잣
75,7,4,마늘
76,7,5,파마산치즈
77,7,6,소금
78,7,7,
79,8,1,오이
80,8,2,양파
81,8,3,딜
82,8,4,설탕
83,8,5,소금
84,8,6,식초
85,8,7,
86,9,1,오렌지
87,9,2,레몬즙
88,9,3,설탕
89,9,4,굵은 소금
90,9,5,식초
91,9,6,
92,10,1,토마토
93,10,2,소금
94,10,3,올리브 오일
95,10,4,다진 마늘
96,10,5,홍고추
97,10,6,바질잎
98,10,7,오레가노말린것
99,10,8,
100,11,1,닭고기
101,11,2,깻잎
102,11,3,겨자
103,11,4,간장
104,11,5,맛술
105,11,6,설탕
106,11,7,청주
107,11,8,
108,12,1,당근
109,12,2,양배추
110,12,3,피망
111,12,4,파
112,12,5,돼지고기 등심
113,12,6,녹말가루
114,12,7,청주
115,12,8,달걀 흰자
116,12,9,마늘
117,12,10,맛술
118,12,11,두반장
119,12,12,설탕
120,12,13,블랙빈 소스
121,12,14,
122,13,1,마요네즈
123,13,2,간장
124,13,3,설탕
125,13,4,레몬즙
126,13,5,두반장
127,13,6,찹쌀가루
128,13,7,달걀흰자
129,13,8,새우
130,13,9,샐러드유
131,13,10,간장
132,13,11,와사비
133,13,12,감자전분
134,13,13,
135,14,1,게살 (혹은 게맛살)
136,14,2,계란
137,14,3,브로콜리
138,14,4,닭육수
139,14,5,옥수수 전분
140,14,6,생강
141,14,7,청주
142,14,8,갈은 생강
143,14,9,소금
144,14,10,후추
145,14,11,
146,15,1,연두부
147,15,2,두반장
148,15,3,돼지삼겹살
149,15,4,땅콩기름
150,15,5,칠리파우더
151,15,6,닭육수
152,15,7,대파
153,15,8,백설탕
154,15,9,진간장
155,15,10,녹말물
156,15,11,사천후추 (혹은 산초가루)
157,15,12,
158,16,1,감자
159,16,2,당근
160,16,3,소고기 (슬라이스)
161,16,4,양파
162,16,5,건다시마
163,16,6,가다랭이포
164,16,7,간장
165,16,8,설탕
166,16,9,맛술
167,16,10,청주
168,16,11,
169,17,1,파스타
170,17,2,캔참치
171,17,3,버터
172,17,4,빵가루
173,17,5,캠벨 크림버섯스프  (혹은 인스턴트 크림버섯수프)
174,17,6,우유
175,17,7,셀러리
176,17,8,레드 파프리카
177,17,9,그린 파프리카
178,17,10,다진 파슬리
179,17,11,올리브 오일
180,17,12,후추
181,17,13,체다치즈 (갈은것)
182,17,14,
183,18,1,통삼겹
184,18,2,로즈마리
185,18,3,땅콩기름 (혹은 식용유)
186,18,4,천연소금
187,18,5,칠리파우더 (혹은 카옌페퍼)
188,18,6,다진 마늘
189,18,7,간장
190,18,8,땅콩기름 (혹은 식용유)
191,18,9,사과
192,18,10,당근
193,18,11,양파
194,18,12,감자
195,18,13,파스닙
196,18,14,
197,19,1,또띠아
198,19,2,아보카도
199,19,3,토마토
200,19,4,파프리카
201,19,5,살라미
202,19,6,파슬리
203,19,7,사워크림
204,19,8,계란
205,19,9,버터
206,19,10,생크림 (혹은 우유  혹은 버터)
207,19,11,체다치즈 (갈은것)
208,19,12,
209,20,1,닭가슴살
210,20,2,소금
211,20,3,후추
212,20,4,마늘
213,20,5,올리브 오일
214,20,6,메추리알
215,20,7,베이컨
