recipe_id,ingredient_id,ingredient
1,1,강력분
1,2,물
1,3,파마산치즈
1,4,올리브유
1,5,설탕
1,6,이스트
1,7,소금
1,8,다진마늘
1,9,파슬리가루
1,10,덧밀가루
1,11,뜨거운물
1,12,찬물
2,1,쇠고기
2,2,다진 양파
2,3,달걀
2,4,밥 (혹은 빵가루)
2,5,우유
2,6,넛맥
2,7,버터
2,8,파슬리
2,9,소금
3,1,홍합
3,2,청주
3,3,코리엔더
3,4,레몬그라스
3,5,파
3,6,마늘
3,7,코코넛 밀크
3,8,피쉬소스 (혹은 까나리 액젓)
3,9,소금
3,10,라임 (혹은 레몬)
3,11,프릭키누 칠리 (혹은 매운 청양고추)
3,12,땅콩기름 (혹은 식용유)
4,1,둘레 20cm 정도의 크러스티한 빵
4,2,양가지
4,3,적파프리카
4,4,주키니호박
4,5,아티초크 절임
4,6,모짜렐라
4,7,슬라이스햄
4,8,로켓 (혹은 샐러드용 야채)
4,9,올리브 오일
4,10,페스토 스프레드
4,11,바질 (잎사귀)
4,12,잣
4,13,마늘
4,14,레몬즙
4,15,올리브유
4,16,파마산치즈 (곱게 갈은 것)
5,1,오리고기 (가슴살)
5,2,오이
5,3,대파
5,4,물
5,5,해선장소스
5,6,팬 케이크
6,1,쇠고기
6,2,표고
6,3,참송이
6,4,팽이버섯
6,5,유부 (혹은 두부)
6,6,파
6,7,배추
6,8,곤약
6,9,우엉
6,10,맛술
6,11,간장
7,1,바질
7,2,올리브오일
7,3,잣
7,4,마늘
7,5,파마산치즈
7,6,소금
8,1,오이
8,2,양파
8,3,딜
8,4,설탕
8,5,소금
8,6,식초
9,1,오렌지
9,2,레몬즙
9,3,설탕
9,4,굵은 소금
9,5,식초
10,1,토마토
10,2,소금
10,3,올리브 오일
10,4,다진 마늘
10,5,홍고추
10,6,바질잎
10,7,오레가노말린것
11,1,닭고기
11,2,깻잎
11,3,겨자
11,4,간장
11,5,맛술
11,6,설탕
11,7,청주
12,1,당근
12,2,양배추
12,3,피망
12,4,파
12,5,돼지고기 등심
12,6,녹말가루
12,7,청주
12,8,달걀 흰자
12,9,마늘
12,10,맛술
12,11,두반장
12,12,설탕
12,13,블랙빈 소스
13,1,마요네즈
13,2,간장
13,3,설탕
13,4,레몬즙
13,5,두반장
13,6,찹쌀가루
13,7,달걀흰자
13,8,새우
13,9,샐러드유
13,10,간장
13,11,와사비
13,12,감자전분
14,1,게살 (혹은 게맛살)
14,2,계란
14,3,브로콜리
14,4,닭육수
14,5,옥수수 전분
14,6,생강
14,7,청주
14,8,갈은 생강
14,9,소금
14,10,후추
15,1,연두부
15,2,두반장
15,3,돼지삼겹살
15,4,땅콩기름
15,5,칠리파우더
15,6,닭육수
15,7,대파
15,8,백설탕
15,9,진간장
15,10,녹말물
15,11,사천후추 (혹은 산초가루)
16,1,감자
16,2,당근
16,3,소고기 (슬라이스)
16,4,양파
16,5,건다시마
